Headlines,Article,Companies,Sectors,Interest
Coal India revises e-auction norms: Is there more upside to the stock now?,"Highlights  Coal India announces plans to ease e-auction norms Asks subsidiaries to set aside higher volumes for e-auction Q1FY25 supplies increase 8 percent YoY Company’s FY25 production to increase in line with growing demand E-auction prices to remain stable Reasonable valuation  Coal India (CIL, CMP: Rs 496; Market capitalisation: Rs 305,794 crore; Rating: Overweight), the largest coal-producing company in the world that caters to ~80 percent of India’s coal requirement, plans to fully meet domestic demand. With this goal in view, the company announced
                                    ",Coal India,Energy,1
D-Mart: Margin miss in Q1; valuations expensive,"Highlights  Healthy revenue growth, but margins miss expectations Robust store expansion to continue Increased operating costs to restrict margins Rich valuations  Avenue Supermarts (D-Mart; CMP: Rs 4,950; Market cap: Rs 322,113 crore; Rating: Equal-weight) has posted a lower-than-expected margin performance in Q1FY25. While gross margins improved owing to a pick-up in the general merchandise and apparel category, higher operating costs led to flat EBIDTA margins year on year (YoY). Going forward, robust network expansion and a pick-up in the performance of mature stores,
                                    ",D-Mart,Retail,1
"TCS chief cautious of economic slowdown, but remains confident of future growth","Tata Consultancy Services Ltd (TCS) stays cautious about the possibilty of an economic slowdown, with chief executive K Krithivasan stating that the worst may not be over yet, though he sounded confident of growth as the company sits on a strong order book of $42.7 billion and aims to outperform its last year's performance in FY25. In an interview with Mint, Krithivasan highlighted the ongoing uncertainty in key markets such as the US, Western Europe, and the UK, where clients are re-evaluating their spending and making quick adjustments. ""It would not be appropriate to say that the worst is behind us,"" Krithivasan remarked. ""We do not have the comfort or confidence to make such a statement at this time."" The cautious outlook follows TCS's report of a 1.93 percent sequential dollar revenue growth in the April-June quarter, surpassing analysts' expectations. The company's headcount also increased by 5,452 from the previous quarter, reversing a year-long trend of workforce reductions. This positive news drove TCS shares up nearly 7 percent on Friday. Also Read | Short Call: One TCS does not make a summer For FY24, TCS achieved a revenue of $29.1 billion, reflecting a 4.1 percent growth, which is the second-slowest annual growth rate since its IPO in August 2004. The slowest growth was recorded in the pandemic year of FY21 at 0.7 percent. Mint quoted analyst Keith Bachman from BMO Capital Markets, saying that while the IT services sector's estimates seem to be stabilising, there is still not enough conviction to predict a significant improvement in CY25 growth. Tata Consultancy Services has maintained its earlier view that the current year will improve over the last, driven by growth across global operations and strength in major business verticals. ""There's nothing new to add in terms of market sentiments. However, as mentioned last quarter, we anticipate FY25 to surpass FY24, and we maintain that stance. We believe it will be a stronger FY25 compared to FY24,"" he said at a press conference to discuss the June quarter numbers. Also Read | Investors of TCS, HCL should tally their optimism with ISG index Krithivasan, in conversation with Mint, also addressed concerns about Generative AI (GenAI), dismissing fears that it would render many jobs obsolete. Citing Roy Amara's adage about technology's impact being overestimated in the short term and underestimated in the long term, he emphasised that while GenAI will transform certain areas, it will not eliminate the need for human workers. ""Unlike some past technologies like Blockchain, GenAI has a much larger impact,"" Krithivasan said, predicting that future coding practices will evolve significantly, but the demand for human talent will remain strong. In contrast to Accenture Plc, which reported winning $2 billion in GenAI deals in the first nine months of its fiscal year, TCS has not quantified its business from AI tools. However, Krithivasan asserted that TCS is not lagging, as the company is integrating AI into nearly all aspects of its operations. ""The key is how we are helping or bringing differentiation for our clients. We should resist riding on a particular hype cycle and focus on how we can help our clients,"" he stated.
       ",TCS,Information Technology,1
SBI raises lending rates by 5-10 bps across most tenures,"State Bank of India (SBI) has raised its benchmark marginal cost of lending rate (MCLR) by by 5-10 basis points with effect from Monday, 15 July 2024. With the increase in the MCLR, the interest rates on loans are also likely to rise by a similar measure, and EMIs rise on linked loans. India's largest bank SBI has hiked the MCLR on 1-year loan tenures by 10 basis points to 8.85 percent. Similarly, the MCLR on 3-month, 6-month, 2-year loan tenures has been hiked by 10 basis points each to 8.4 percent, 8.75 percent, and 8.95 percent, respectively. SBI's MCLR (benchmark rates) revised w.e.f. 15 July 2024TenureMCLROvernight8.10 percent1-month8.35 percent3-month8.40 percent6-month8.75 percent1-year8.85 percent2-year8.95 percent3-year9.00 percentBefore this, SBI had hiked the MCLR on various tenures in mid-June, also by 10 basis points, then taking the benchmark rate on 1-year loans to 8.75 percent.To be updated with details ",SBI,Banking,1
"Investors of TCS, HCL should tally their optimism with ISG index","Shares of Tata Consultancy Services (TCS) and HCL Technologies gained after the June quarter results of the companies showed no incremental deterioration in their businesses. In fact, the revenue growth rate at TCS improved. The company expects FY25 to be better than FY24. HCL has maintained its guidance of 3-5 percent revenue growth. However, investors expecting a major rebound in growth rates should take a look at the latest update of the Information Services Group (ISG) index,
                                    ",TCS,Information Technology,0
Morning Scan: All the big stories to get you started for the day,"#1. India dedicated funds see record inflows of $1.25 billion in July second week Funds dedicated to India witnessed record inflows in the past few weeks, the Hindu Businessline reported. Last week saw inflows of $1.25 billion, with most of the money coming into exchange traded funds at $848 million, data from EPFR and Elara Securities showed. A good portion came in from Ireland while consistent inflows were seen from the US, Japan and Luxembourg. South Korea has also been a steady contributor. Why it’s important: Overseas investors are convinced of India’s continued growth story. The inflows into dedicated funds have gathered pace since April last year, when there was a shift from China to India. #2. Flipkart plans to open 100 dark stores, intensifying battle for market share in quick commerce E-commerce firm Flipkart plans to open nearly 100 dark stores in top cities ahead of its Big Billion Days sale, intensifying the battle over quick commerce, the Economic Times reported. The Walmart-owned company will take on Zepto, Zomato’s Blinkit and Swiggy Instamart this festive season. Why it’s important: The rapid penetration of quick commerce could see the segment corner a large chunk of festival season sales and Flipkart wants a piece of that action. The expansion of faster deliveries into non-grocery segments is expected to gather pace. #3. Care Health Insurance challenges regulatory power to set stock options to top executives Rashmi Saluja-led Care Health Insurance has questioned the regulator’s powers to set stock options granted to insurance company executives, the Mint reported. Care Health wrote to the Insurance Regulatory and Development Authority of India that no action should be taken against it for awarding equity stock options to Saluja despite the regulator rejecting its proposal. Why it’s important: This could potentially delay the Burman family’s bid to take over Religare Enterprises, the parent of Care Health Insurance. The Burmans have warned Care of legal consequences if it did not act to prevent Saluja from cashing in the stock options. #4. Indian talent needs to play role in chip design and not just fabrication, semicon influencer says India has the potential to “rise and emerge” as a major player in the next big semiconductor wave because its human capital is already driving technology giants Intel, Qualcomm and Nvidia, Lip-Bu Tan, one of the most influential global voices in the multibillion-dollar chip industry, told the Economic Times. Tan will attend the launch of Yali Capital, a local deep-tech venture fund with a strong emphasis on chip design. Why it’s important: The government has been aiming to make India a hub for semiconductors, but the country needs to play to its strength and focus on value additions such as chip design instead of fabrication, which is capital intensive, power guzzling and riskier. #5. Adani Power, NTPC and JSW Energy in race to acquire bankrupt Sinnar Thermal Adani Power, JSW Energy, Jindal Power, Vedanta Group, Torrent Power and state-owned NTPC are among 15 firms that have submitted expressions of interest for providing a resolution plan to take over the debt-laden Sinnar Thermal Power near Nashik in Maharashtra, the Economic times reported. The 1,350 MW power plant, a unit of RattanIndia Power, was initially developed by Indiabulls Power. Why it’s important: This is a rare instance of an electricity generator being readily available in India, where building a new power project is both costly and time-consuming. No wonder there is such ample interest. #6. Steep decline in bond issuances by India Inc in June quarter due to polls, rate cut hopes Corporate bond issuances slumped in the April-June period due to the national election and expectations of a drop in yields due to anticipated rate cuts, the Mint reported. The number of issues fell to 247 from 287. Listed bond issuances through the electronic debt bidding platform (EBP) saw a sharp drop in the total amount raised in the fiscal first quarter to about Rs 1.6 lakh crore from Rs 2.42 lakh crore a year ago, according to BSE and NSE data. Why it’s important: Part of the decline was due to the high base of the year-ago period. There could be a revival in the ongoing quarter as yields remain attractive and there’s strong investor appetite for long-term bond instruments from top-rated private sector issuers. #7. Government to take measures to help exporters grappling with non-tariff barriers The central government is working towards a strategy to tackle non-tariff barriers faced by exporters by setting up a committee and launching a portal, the Business Standard reported. The development comes at a time when India is negotiating free-trade agreements with several developed economies. Why it’s important: Wealthy nations often undertake non-tariff measures related to environment and sustainability that have become a cause for concern for Indian exporters. Non-tariff barriers typically take several years to resolve. #8. Metal and power producers lobby for easier vias regime for expats like those in PLI sectors Domestic metal and power producers have asked the federal government for a visa regime for expats, including those from China, on par with that for firms in the 14 sectors under the flagship production-linked incentive schemes, the Economic Times reported. Why it’s important: There are early signs of private capital formation in metals and power industries. The government could favorably consider easing the visa regime since delays in processing entry permits for foreign experts has emerged as a bottleneck. #9. Banks step up measures to contain the huge increase in mule accounts in recent months Commercial banks in the country have stepped up their control mechanism in taking on new current and savings accounts customers while boosting surveillance on existing ones, the Business Standard reported. This comes in the wake of an increase in the number of so-called mule account in the past six-nine months, bankers said. Why it’s important: India has one of the most stringent KYC norms for the finance and banking sector. The illegal or mule accounts have been rising despite that and the lenders are acting on the urging of the banking overseer. #10. Super sports Sunday sees superb sales for restaurants and bars across in India Sports enthusiasts nation­wide enjoyed an action-packed super Sunday, igniting a surge in business for restaurants and bars, the Business Standard reported. The day kicked off with the Wimbledon finals televised in India at 6.30 pm, followed by the Euro Cup finals starting at 12.30 am and concluding with the Copa América final in the early hours of Monday. Why it’s important: It was a blockbuster Sunday for eateries and bars, who had stocked up in anticipation. There was a spike in home deliveries as well.
       ",,,0
Adani plans to build port in Vietnam to tap trade opportunities,"Billionaire Gautam Adani plans to build a port in Vietnam as the Indian conglomerate seeks to develop infrastructure overseas to tap opportunities from increasing trade. Adani Ports and Special Economic Zone Ltd. has secured an “in-principle approval from the Vietnamese government” for a greenfield development in Da Nang, Karan Adani, managing director of the company, said in an interview. The project, which will have container terminals and multipurpose berths to handle various types of cargo, is at an early stage of planning and the total investment required hasn’t been finalized yet, he said. This will be the fourth international port asset for the Adani group after Haifa in Israel, Colombo in Sri Lanka and the Port of Dar es Salaam in Tanzania. On Friday, Adani’s new mega port in southern India saw the arrival of its maiden mother ship and the company wants to accelerate the expansion of the facility in a bid to grab a bigger share of the international maritime trade that’s currently dominated by China. “The idea is to make India a maritime hub,” Karan, the elder son of Gautam Adani, said. “We are targeting countries that are high on manufacturing or high on population, which will lead to high consumption. We are focusing on export volumes in these countries.” Adani Ports is the largest port operator in India. It gets about 5% of its total volume from international operations and wants to increase the ratio to 10% by 2030, Karan Adani said. The company is looking at opportunities in the Middle East, Southeast Asia, East Africa, Bangladesh, Sri Lanka, Maldives, Vietnam and Cambodia as these are regions where trade is coming to India, he said.
       ",Adani,Infrastructure,1
Cyril Amarchand's Shishir Vayttaden to join Khaitan & Co along with 2 other partners,"Leading law firm Khaitan & Co has roped in Shishir Vayttaden and two other partners - K Aishwarya and Aditi Singhvi - from rival Cyril Amarchand Mangaldas, according to an official announcement. They will join the Corporate and M&A practice at Khaitan & Co. Vayttaden specialises in public and private M&A and in private equity transactions. He is regular external counsel to several bulge bracket private equity funds and to many Fortune 500 companies. A 2005 graduate of NLSIU Bengaluru, Vaytadden joined Amarchand Mangaldas Suresh A Shroff as a partner in 2014 and after its 2015 split, stayed on with Cyril Amarchand Mangaldas. Prior to Cyril Amarchand Mangaldas, he had a stint of nearly nine years at Luthra & Luthra Law Offices. He is the author of a highly respected textbook on the Indian takeover code and is also a best-selling fiction author of the book, Kill the Lawyers. Speaking on the development, Haigreve Khaitan, Senior Partner at Khaitan & Co said, “We are delighted to welcome Shishir and his team to our Corporate and M&A practice. Shishir’s significant experience in dealmaking will further our capabilities in delivering exceptional legal services to our clients. I am confident that their integration into our firm will be seamless, and they will contribute meaningfully to our continued success.” The official announcement added, ""This move is part of Khaitan & Co's ambitious strategy to continue investing in its growth, attract top talent and reinforce its position as a top law firm in the country. Recently, the firm boosted its employment practice with the addition of two key Partners in Bengaluru and Delhi. Earlier this year, it announced the opening of its Ahmedabad office with two Partner appointments in the new office, and expansion of its Mumbai office. Today, the firm has over 250 Partners and Counsel across its offices in India and Singapore.""
       ",Khaitan & Co,Legal Services,0
Business in the Week Ahead: July 15-19,"Tata Consultancy Services (TCS) kickstarted the Q1 FY25 earnings season on a positive note. The company reported the best quarterly revenue growth in a year. Key business vertical banking and financial services returned to growth on a sequential basis. Yet, growth rates are muted. Management remains cautious on overall demand outlook. The coming week will see results from major companies including Reliance Industries (RIL), Infosys, HDFC Bank, Bajaj Auto, Asian Paints, LTIMindtree, UltraTech Cement, Wipro and Kotak Mahindra",,,0
"Tata Power invests over Rs 4,200 crore in network expansion, upgrade in Odisha","Tata Power-led power distribution companies (Discoms) have invested Rs 4,245 crore in infrastructure expansion and network upgrade in Odisha over the past 3-4 years, the company said on Friday. The company operates four Discoms in joint ventures with the government of Odisha - TP Central Odisha Distribution (TPCODL), TP Western Odisha Distribution (TPWODL), TP Southern Odisha Distribution (TPSODL), and TP Northern Odisha Distribution Limited (TPNODL), collectively serving a customer base of over 9 million. Of the total investment, Rs 1,232 crore has been allocated through various government-backed schemes. This includes laying 2,177 circuit kilometres (Ckms) of 33 kilovolt (KV) lines and 19,809 Ckms of 11 KV lines, as well as adding 30,230 distribution transformers to improve the distribution network's reliability across rural and urban areas, the company said. Additionally, the company has commissioned 166 new primary substations (PSS), with 55 per cent of them being automated. These efforts have led to an average of 23.68 hours of power supply per day in urban areas and 21.98 hours in rural areas, exceeding national averages. Furthermore, the network improvements have contributed to a reduction in Aggregate Transmission and Distribution (AT&C) losses, averaging 17.79 per cent in Odisha during the financial year 2023-24, the company added.
       ",Tata Power,Utilities,1
